Date,Price,Sentiment,CE_Confidence,Articles,Tech_Decision,Tech_Score,EMA_Trend,RSI,EMA200_Reliable,TTS_Insufficient,SIV_Signal,SIV_Conflict,Final_Verdict,Weighted_Score,Risk_Multiplier,Verdict_Reasoning,Market_Reality,Alignment
07/02/2018,110.838,NEUTRAL,MODERATE,7,HOLD,0.0306,BEARISH,60.93,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
07/03/2018,110.5,BULLISH,MODERATE,2,HOLD,0.0105,BEARISH,55.74,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.178,Mixed signals and low confidence,BULLISH,correct
07/04/2018,110.471,NEUTRAL,MODERATE,6,HOLD,0.0101,BEARISH,55.3,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
07/05/2018,110.659,BULLISH,MODERATE,14,HOLD,0.0216,BEARISH,57.61,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
07/06/2018,110.464,BEARISH,HIGH,41,HOLD,0.0098,BEARISH,54.46,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
07/09/2018,110.87,BULLISH,HIGH,36,HOLD,0.0566,SIDEWAYS,59.44,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
07/10/2018,110.841,BULLISH,MODERATE,8,HOLD,0.0536,SIDEWAYS,58.94,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
07/11/2018,111.942,BULLISH,MODERATE,5,HOLD,0.0152,SIDEWAYS,69.37,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
07/12/2018,112.607,NEUTRAL,MODERATE,9,HOLD,0.0446,SIDEWAYS,73.72,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
07/13/2018,112.33,BULLISH,MODERATE,7,HOLD,0.1166,BULLISH,69.31,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
07/16/2018,112.308,BEARISH,MODERATE,2,HOLD,0.1325,BULLISH,68.95,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.178,Mixed signals and low EMA reliability.,BEARISH,correct
07/17/2018,112.924,BEARISH,MODERATE,11,BUY,0.1568,BULLISH,73.09,False,True,PARTIAL,DIRECTIONAL_MISMATCH,SELL,-0.5373,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
07/18/2018,112.858,NEUTRAL,MODERATE,10,BUY,0.1654,BULLISH,71.98,False,True,PARTIAL,TECHNICAL_ONLY,HOLD,0.0662,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
07/19/2018,112.443,BULLISH,MODERATE,13,HOLD,0.131,BULLISH,65.29,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
07/20/2018,111.416,BULLISH,MODERATE,19,HOLD,0.0558,BULLISH,52.34,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
07/23/2018,111.376,NEUTRAL,HIGH,27,HOLD,0.0555,BULLISH,51.91,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
07/24/2018,111.24,BULLISH,HIGH,25,HOLD,0.0481,BULLISH,50.38,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BULLISH,correct
07/25/2018,110.915,BULLISH,MODERATE,12,HOLD,0.0194,BULLISH,46.85,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BULLISH,correct
07/26/2018,111.201,BULLISH,MODERATE,6,HOLD,0.0492,BULLISH,50.16,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low confidence,BULLISH,correct
07/27/2018,111.021,BEARISH,MODERATE,17,HOLD,0.0266,BULLISH,48.13,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
07/30/2018,111.021,BULLISH,MODERATE,15,HOLD,0.0273,BULLISH,48.13,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BULLISH,correct
07/31/2018,111.767,BULLISH,HIGH,53,HOLD,0.0929,BULLISH,56.59,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/01/2018,111.67,BULLISH,HIGH,38,HOLD,0.0881,BULLISH,55.33,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/02/2018,111.619,BULLISH,HIGH,21,HOLD,0.0865,BULLISH,54.64,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/03/2018,111.205,BULLISH,HIGH,52,HOLD,0.0387,BULLISH,49.26,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/06/2018,111.362,BULLISH,MODERATE,12,HOLD,0.0686,BULLISH,51.22,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/07/2018,111.364,BULLISH,MODERATE,7,HOLD,0.0703,BULLISH,51.25,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low confidence.,BEARISH,incorrect
08/08/2018,110.882,BULLISH,MODERATE,13,HOLD,0.0231,BULLISH,45.05,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment align moderately.,BEARISH,incorrect
08/09/2018,111.158,NEUTRAL,HIGH,21,HOLD,0.0396,BULLISH,48.86,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
08/10/2018,110.797,BULLISH,MODERATE,7,HOLD,0.0211,BULLISH,44.51,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.34,Bullish trends and sentiment support trade.,BEARISH,incorrect
08/13/2018,110.722,BULLISH,MODERATE,3,HOLD,0.0169,BULLISH,43.64,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.178,Mixed signals and low confidence.,BEARISH,incorrect
08/14/2018,111.18,BEARISH,MODERATE,7,HOLD,0.0636,BULLISH,50.06,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
